B1	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B2	B20	B21	B22	B23	B24	B25	B26	B27	B28	B3	B32	B33	B34	B4	B5	B6	B7	B8	B9
B4U62_13080	3	626	988	713	1058	1187	916	1909	1492	2211	1749	2	3129	3206	1980	394	299	121	124	200	13	1	70	40	144	3	1	3	0	1	0
B4U62_13085	3	934	1493	1007	1374	1454	1196	2820	2466	3076	2409	2	3081	3094	2327	373	423	76	175	224	3	4	38	43	158	4	1	0	1	2	4
B4U62_13090	977	1127	911	822	588	910	618	521	485	849	763	1164	384	435	603	50	59	84	202	269	10	795	1199	977	1526	345	326	264	525	318	545
B4U62_13095	91	90	64	55	65	84	55	116	86	128	137	120	86	80	105	10	10	13	39	36	3	92	209	162	220	36	23	30	47	36	51
B4U62_13100	38	58	53	43	72	57	44	90	84	128	121	44	113	112	79	7	7	8	55	18	0	39	169	183	143	23	17	15	31	14	21
B4U62_13105	4014	4075	3708	3807	4257	4289	3477	2910	2789	4123	4440	4006	3226	3049	3565	298	342	393	1021	895	61	3373	2930	2709	2991	7406	4970	5358	2973	2148	3177
B4U62_13110	5324	12509	12107	11106	14087	11902	9573	10873	8769	12516	25869	6773	12896	12086	9473	1156	1295	1829	6069	5082	313	4893	3312	2609	3721	4592	4192	3968	5986	3862	6268
B4U62_13115	49	1719	1575	1613	4611	4872	3193	5351	4852	7226	2399	47	3652	3751	2831	223	187	810	771	880	303	53	51	59	297	19	23	22	55	42	49
B4U62_13120	4213	4780	4414	3968	4071	3986	2961	4038	3292	5660	4872	4432	3454	3824	6236	561	636	1100	2819	2464	205	3536	5239	3687	6305	1714	1787	1549	2738	1883	2910
B4U62_13125	871	940	933	794	687	701	588	788	691	1135	833	795	533	598	1133	77	67	170	410	368	28	724	305	227	345	342	363	325	551	394	603
B4U62_13130	8393	11218	9450	9024	5746	6209	4824	6366	5089	9629	6435	9023	3169	3589	9447	743	940	1943	4825	5133	351	6955	4984	3822	6455	4154	4373	3681	6309	3814	7067
B4U62_13135	14767	18531	16128	14575	10500	12840	10142	13898	12481	22145	10956	14727	6149	7052	22457	2095	2568	5093	11508	11454	885	12392	6621	5368	8126	6651	5583	5318	10076	6380	10395
B4U62_13140	1610	1509	1342	1333	1071	1076	846	1224	924	1462	921	1519	679	838	1605	160	195	269	630	734	60	1320	378	304	532	696	732	720	1303	885	1358
B4U62_13145	138	138	119	94	98	75	96	98	67	108	68	149	54	44	126	1	6	15	31	69	3	92	21	12	28	50	61	37	130	97	114
B4U62_13150	2409	2493	2204	2175	1750	1774	1417	1766	1320	2226	1474	2434	955	1165	2187	202	258	564	912	1380	87	2096	293	257	387	1081	1367	1112	2453	1496	2158
B4U62_13155	13473	14617	12171	11965	11103	11829	9535	9044	7725	11712	7534	14827	5043	5977	13288	1182	1044	3642	5912	11323	407	11911	3687	2819	4290	5794	6544	6106	12580	7811	12304
B4U62_13160	6048	6787	6223	5630	5808	6121	4907	4534	3771	5756	3669	6881	2855	3365	6018	531	673	1964	2814	5436	326	5620	287	247	312	2444	2954	2599	7032	4165	6201
B4U62_13165	8065	22449	23280	18031	27132	35755	26126	23615	24562	38188	26904	8476	25233	27966	74591	8426	10464	39552	32288	73597	8397	7027	6591	6686	6957	3859	3489	3330	8451	5439	6061
B4U62_13170	19529	50209	47959	38245	63695	79170	60134	49173	51692	79865	61689	19951	47915	55097	160162	10361	11212	49961	57624	131506	6508	16755	11286	10465	12872	8658	8500	7975	14690	10325	14786
B4U62_13175	5971	4413	4250	4385	3058	2486	2294	2980	2739	3870	2147	6079	1257	1433	2225	39	44	115	753	667	35	5289	63	83	86	2297	2087	2307	4610	3307	4315
B4U62_13180	55	4142	4145	3884	7541	7720	5414	6490	5909	8706	4785	57	3436	3826	7278	298	179	155	492	571	33	48	399	235	450	48	33	45	68	50	71
B4U62_13185	20	1154	1250	1124	2325	2631	1710	2850	2265	3449	2232	16	1911	2119	3924	206	152	75	169	190	6	17	26	42	68	23	13	17	24	19	24
B4U62_13190	12	974	1207	1056	2464	2763	1721	2036	1980	2677	1947	4	1291	1582	2616	195	102	39	147	131	10	11	44	35	80	12	13	4	11	15	19
B4U62_13195	26	746	718	685	1692	1771	1308	1622	1406	2208	1662	28	1345	1333	2887	416	373	97	186	206	12	19	92	73	161	34	25	26	42	23	31
B4U62_13200	4	113	176	145	300	390	247	370	337	509	253	6	261	307	529	43	24	10	30	33	1	6	7	4	21	8	5	3	4	1	1
B4U62_13205	1	76	91	58	90	159	107	174	155	261	109	2	58	55	199	3	2	4	8	18	0	3	2	0	29	4	1	2	5	5	2
B4U62_13210	3	278	314	260	480	537	423	749	625	1002	564	3	416	461	972	130	162	27	48	66	4	1	7	13	21	13	9	5	7	10	6
B4U62_13215	9	1183	1393	1120	2390	2669	1810	2989	2856	3956	2697	12	2155	2248	4166	514	524	143	222	236	7	11	46	27	109	14	6	11	12	11	16
B4U62_13220	7	76	115	76	146	166	112	187	143	244	161	8	145	123	173	22	18	10	20	22	0	5	8	9	72	7	4	6	3	3	7
B4U62_13225	15117	11439	9624	9950	8277	6084	5594	5725	4425	7088	5348	16978	2838	4000	6012	210	246	663	2410	2465	184	14093	2764	2090	3398	8913	8644	8589	11052	7382	11361
B4U62_13230	18474	16341	14274	13308	12657	10021	8599	9788	8174	12943	9574	20096	5417	6676	11615	1287	1382	1899	5100	4820	255	16469	4404	3329	5408	13048	10906	10946	12868	9131	14369
B4U62_13235	3490	4534	3995	3522	3641	3005	2614	2899	2096	3509	3120	3495	1756	1992	3010	379	462	689	1544	1658	96	2868	388	323	458	2146	2036	1965	2941	2025	3400
B4U62_13240	53	251	229	199	564	526	368	506	444	652	361	48	403	374	481	34	28	95	102	165	17	47	7	26	39	13	25	9	32	17	20
B4U62_13245	4394	14827	12306	11683	32428	26975	21465	17952	16095	22573	17890	5189	14381	15693	22955	3278	4414	12704	14866	28394	1965	3958	5709	5101	5875	3085	3086	2858	4336	3052	4654
B4U62_13250	1181	3068	2701	2733	6308	5007	4858	3830	3981	4852	3903	1377	3060	3312	5477	778	775	2385	2870	5247	325	1093	1734	1615	1627	1389	958	1393	1049	770	1085
B4U62_13255	268	1460	1408	1307	2289	2494	1927	1973	2038	2932	2310	313	1878	1745	2215	190	271	153	348	321	15	267	140	137	285	131	168	131	330	220	320
B4U62_13260	11840	8063	7316	8561	5584	4958	3967	3893	3675	5270	2794	14779	1551	2053	2351	38	31	253	1193	1306	95	11104	303	272	339	2925	5981	5054	9391	5567	8514
B4U62_13265	2721	1575	1268	1240	1041	984	753	838	671	1045	959	2949	548	587	653	49	43	96	367	375	16	2320	177	138	202	1032	1064	1019	1453	913	1584
B4U62_13270	6796	2699	1964	2592	1897	1603	1318	1010	897	1292	862	8593	527	649	566	89	134	187	725	543	60	6791	312	281	360	1294	2273	1857	4240	2631	4034
B4U62_13275	2699	1512	1327	1192	1112	863	751	819	603	891	572	2482	645	716	1034	254	213	382	988	829	63	2139	14648	11103	18671	2610	1893	1872	1061	872	1170
B4U62_13280	2253	1226	1115	1053	1032	781	629	714	578	826	570	1971	676	679	1118	358	352	387	1119	724	78	1781	8370	6079	9729	1976	1461	1418	913	698	908
B4U62_13285	2164	1174	1083	906	909	641	559	679	577	815	508	1942	542	562	983	264	258	310	885	682	63	1684	4249	3195	4832	1420	1143	1025	894	622	911
B4U62_13290	28	644	563	616	1461	1435	1022	1433	1195	1884	1345	30	1191	1136	1120	46	37	44	83	103	6	19	30	41	77	13	18	18	70	36	65
B4U62_13295	164	714	571	645	752	787	531	705	627	832	535	223	418	410	526	12	5	32	86	112	10	159	150	128	210	315	442	386	829	468	773
B4U62_13300	1319	9270	9382	10722	5376	3216	3656	1995	1724	2196	2220	1606	1114	1384	1003	11	6	52	689	805	14	1481	58	50	68	5715	7316	9597	9336	6553	6062
B4U62_13305	5357	7147	6414	7039	6012	5030	3797	4702	3336	5106	4521	6435	2601	3075	2774	197	154	425	1436	1437	130	4578	661	518	692	2270	3722	3156	6364	3987	6419
B4U62_13310	4167	13826	11810	13099	11090	7910	6730	10715	8216	11925	996	9072	330	682	2590	116	106	178	1028	1216	38	3431	83	83	105	7963	8300	9404	22437	11500	17972
B4U62_13315	491	1113	931	1111	644	642	488	938	716	1252	99	919	24	54	300	8	14	31	97	104	1	444	15	19	29	841	853	945	2457	1397	2166
B4U62_13320	867	1716	1449	2093	1073	1138	718	1312	1106	1781	147	1549	43	88	388	12	10	41	158	164	3	756	9	14	32	1345	1489	1807	5177	2985	3471
B4U62_13325	13	390	426	426	999	1037	763	892	829	1215	692	11	575	655	583	15	29	32	65	56	6	14	16	20	55	12	13	12	14	15	15
B4U62_13330	2	122	169	175	348	447	265	269	327	418	234	2	213	215	184	5	8	13	15	48	6	5	3	6	11	2	3	2	2	3	3
B4U62_13335	4	37	36	53	73	82	58	73	53	80	56	4	54	83	93	9	11	7	8	26	2	8	1	10	30	0	0	3	4	5	4
B4U62_13340	2	20	28	17	33	38	39	38	44	65	28	2	43	36	87	10	7	9	28	24	0	0	9	5	22	1	2	0	3	3	1
B4U62_13345	1	11	10	11	13	28	21	29	18	29	16	1	23	17	51	11	3	11	18	29	0	0	20	24	51	4	4	3	1	1	5
B4U62_13350	0	7	12	10	16	16	14	14	20	24	14	2	15	17	62	9	20	29	39	63	3	0	23	18	34	3	4	2	2	1	1
B4U62_13355	1	2	7	5	11	10	6	13	15	18	6	1	12	12	30	8	10	21	33	45	2	1	13	18	45	1	0	2	2	3	2
B4U62_13360	24	61	82	64	142	165	104	126	118	188	118	19	187	157	287	68	79	185	256	299	19	10	90	94	144	12	14	6	15	1	17
B4U62_13365	31	148	147	169	331	298	242	253	236	357	264	38	423	313	604	110	95	288	458	571	30	21	430	363	520	32	33	25	29	25	42
B4U62_13370	31	304	307	220	799	696	633	295	303	394	418	3	442	523	701	52	31	432	268	854	51	6	149	216	161	59	49	36	16	8	9
B4U62_13375	85	1663	1873	1062	4515	3262	2967	2229	2130	2668	2344	44	3134	3467	4268	375	357	2491	1993	5307	415	38	475	465	639	191	135	134	53	31	44
B4U62_13380	282	5464	4999	3560	11813	11770	10320	5676	6175	8094	7478	114	6439	7430	21227	1428	1403	8624	7319	17982	865	94	4326	4032	4842	546	308	280	143	123	116
B4U62_13385	1409	3935	4046	3019	16669	11228	10893	5417	4740	5377	4714	649	4382	5001	9411	1281	1309	4462	3742	7683	541	551	1201	1194	1140	331	292	239	266	158	309
B4U62_13390	121	295	326	225	1327	816	891	439	309	323	354	38	377	459	375	423	606	237	246	506	58	39	19	32	14	24	8	13	10	10	23
B4U62_13395	2134	28397	27907	18209	73539	71541	62024	38798	38273	45091	39799	917	34083	41556	41919	2550	1730	9116	21443	57835	2995	612	3904	3251	4061	2109	1565	1183	274	251	287
B4U62_13400	1704	5386	6738	4883	5245	4557	4006	3825	3390	4433	3806	2103	2205	2697	2187	126	68	448	960	1311	139	1348	1889	1805	2880	441	1077	806	2786	1984	2875
B4U62_13405	4044	5196	5163	4636	6556	5460	4341	4481	3498	4920	4641	5319	3214	3938	3186	502	513	637	1529	1255	91	3158	1286	987	1609	3258	2940	3212	3874	2524	4668
B4U62_13410	2626	7473	9914	8330	8144	6809	6537	5973	5059	7247	7681	3249	3227	4125	6226	541	544	1490	3952	4192	130	2471	7337	5285	7453	3412	4945	4583	4071	2922	4445
B4U62_13415	1260	1420	1423	1328	1614	1426	1181	990	789	1275	1190	1339	800	933	1321	70	67	162	414	497	37	1121	228	213	244	620	669	625	1441	852	1038
B4U62_13420	2777	3237	3482	2986	3923	3482	2927	3062	2490	3757	3620	3246	2468	2777	4141	225	232	491	1295	1232	100	2513	552	450	668	1255	1379	1385	2549	1693	2474
B4U62_13425	1157	1602	1670	1382	1845	1874	1443	1931	1733	2554	2151	1227	1650	1712	2088	199	179	140	469	388	29	1036	176	144	400	436	433	427	841	556	819
B4U62_13430	15541	16122	15126	14483	17470	15522	12643	11464	9739	15393	11031	16642	8443	9630	16843	1614	1413	3943	7751	10478	751	13861	10367	7940	11977	4889	6367	5453	11863	7639	10925
B4U62_13435	1345	2047	2118	1549	2340	2179	1896	1649	1462	2168	1857	1165	1614	1844	2769	737	681	1179	1611	2715	119	1068	1289	1028	1600	909	794	713	885	654	996
B4U62_13440	219	250	327	247	227	246	207	169	200	226	179	221	131	160	184	53	54	46	120	147	8	199	69	59	126	108	131	114	198	131	161
B4U62_13445	1376	1748	1755	1568	1262	1258	1134	1143	963	1414	1379	1463	792	913	985	280	319	230	450	615	34	1144	4107	2988	5447	876	1023	834	1285	920	1544
B4U62_13450	429	305	301	343	522	480	449	406	442	566	315	464	246	305	348	22	19	124	135	144	53	410	17	11	28	154	241	214	363	209	360
B4U62_13455	1758	1024	758	786	561	492	413	549	426	728	270	1859	155	217	408	31	37	66	212	195	8	1546	24	33	77	742	931	788	1214	832	1387
B4U62_13460	15162	6030	7415	7896	3363	2539	2531	1430	1250	1908	752	12558	320	542	445	8	7	182	684	773	20	11495	38	47	46	1818	7972	7674	14078	7813	9974
B4U62_13465	382	571	507	505	636	519	451	418	355	567	705	399	562	494	641	110	90	81	218	147	8	345	165	153	241	139	167	138	421	248	418
B4U62_13470	179	221	189	201	213	176	152	153	115	187	279	216	169	160	224	13	8	11	133	115	7	136	75	67	103	74	59	79	191	119	166
B4U62_13475	3967	1830	1532	1701	1461	1324	975	780	693	1021	706	4622	378	476	719	28	25	112	646	992	89	3958	168	148	214	1145	1412	1376	2867	1825	2121
B4U62_13480	5542	3096	2291	2705	2254	1988	1568	1152	930	1432	1091	6370	605	788	1113	35	36	163	845	1327	109	5531	513	390	547	2720	2781	2837	4306	2684	3265
B4U62_13485	53	212	174	189	113	105	95	273	161	274	160	51	161	218	289	44	37	43	86	81	14	45	48	43	67	63	49	52	133	72	108
B4U62_13490	19	171	126	116	62	66	49	153	139	201	111	24	116	140	245	42	34	12	60	49	23	12	23	23	60	27	23	20	88	46	73
B4U62_13495	19	127	79	98	40	49	26	158	108	164	77	15	94	117	209	41	39	18	66	61	15	18	12	13	29	14	15	23	71	39	60
B4U62_13500	46	321	226	275	197	190	151	384	243	464	245	36	232	240	418	81	93	74	123	97	24	40	99	60	95	45	45	32	188	105	153
B4U62_13505	23	791	475	589	211	183	134	1135	725	1174	384	32	501	529	591	55	56	73	182	159	38	24	49	37	87	66	78	81	449	307	342
B4U62_13510	15154	13696	11931	12287	11007	11174	8764	9333	7842	12809	7848	15772	6022	6528	12932	705	584	1734	5183	5235	612	13237	4292	3467	5043	7019	8022	6791	11351	7567	11487
B4U62_13515	230	1321	1212	1211	2252	2231	1760	2262	1912	2982	1261	193	1354	1338	1775	90	152	140	227	367	20	172	59	65	128	229	257	208	759	479	775
B4U62_13520	72246	90172	82864	79179	105705	108043	79208	42981	43511	59072	64260	87456	39591	46056	63790	4157	5165	22305	26470	59128	5253	66480	17725	17820	19425	130772	95311	109110	97646	63152	81562
B4U62_13525	595	1124	1519	868	1765	1675	1398	1301	1132	1529	1348	583	1792	1953	1779	600	665	1312	1034	2166	125	309	521	511	693	282	354	281	595	349	506
B4U62_13530	3298	3527	3293	3164	3302	2851	2355	2766	2189	3441	2869	3549	1920	2266	2684	74	75	392	827	1665	111	2822	330	295	460	1169	1682	1534	3604	2246	3215
B4U62_13535	45374	29456	24686	24729	16464	12685	11075	15497	12272	18596	10408	59451	4742	6569	4446	110	100	800	3470	3641	124	40435	263	269	346	12848	21356	18273	41657	24388	42266
B4U62_13540	44	202	235	207	387	505	310	344	348	475	435	52	215	187	442	19	7	4	50	27	5	30	6	13	38	12	22	18	42	31	45
B4U62_13545	11239	9785	7935	8295	7107	7572	6251	5737	4765	7539	6262	12077	3028	3484	6252	323	325	566	1664	1794	75	9294	1131	877	1351	4326	4321	3963	7737	5115	8836
B4U62_13550	81	6033	6205	7304	17247	17823	12205	17085	14253	21793	7039	80	8046	8289	9430	9895	23922	378505	242755	192046	112256	60	112	139	192	88	68	139	151	147	144
B4U62_13555	2858	4413	3974	4341	5654	4874	3588	4360	3462	5622	4534	3613	2962	3383	4654	155	139	851	2473	2362	281	3050	628	609	589	1126	1646	1522	4455	2770	3662
B4U62_13560	2110	2277	2048	1986	1979	1919	1572	1751	1451	2321	1872	2315	1029	1175	1905	107	118	384	1052	846	82	1850	328	290	349	973	1169	1162	2049	1360	2186
B4U62_13565	2319	2616	2115	2221	2069	1837	1522	1858	1444	2229	1766	2371	1165	1341	1784	176	165	420	1166	1037	58	1900	489	383	487	1302	1573	1448	2494	1648	2545
B4U62_13570	322	3488	3147	4372	7787	6636	5580	4176	3813	5719	1425	315	1517	1811	3972	63	51	115	413	483	42	325	94	125	110	81	126	96	276	185	256
B4U62_13575	4923	3811	3336	3494	2647	2383	1896	2540	2131	3473	2250	5614	1459	1699	2838	122	121	356	1107	1167	93	4697	1356	1127	1520	2168	2567	2387	4449	2745	3573
B4U62_13580	6128	5129	4114	4103	3567	3400	2677	4037	3048	4971	3383	6606	2037	2394	4158	321	285	762	2192	2138	165	5431	1380	1141	1444	3065	3047	2748	3899	2586	4233
B4U62_13585	33	1399	1673	1458	1569	1711	1365	3460	2968	4134	2462	31	4830	3671	2307	762	983	131	244	323	18	34	62	64	145	16	21	19	50	36	49
B4U62_13590	4803	3504	3059	3234	2847	2611	2019	3013	2288	3825	2164	5476	2217	2116	4142	151	167	537	1527	1254	107	4230	826	724	859	1644	1880	1651	3695	2320	3594
B4U62_13595	2212	2640	2606	2192	2103	1519	1417	1455	1118	1776	1230	2528	823	1013	1848	193	221	284	967	665	53	1945	3059	2504	3815	1562	1442	1318	1573	1064	1659
B4U62_13600	931	869	968	771	662	591	507	533	480	653	447	965	287	406	641	66	57	63	236	218	16	784	288	244	395	417	430	413	526	398	609
B4U62_13605	139	1844	2898	1539	1752	1387	1190	1503	1266	1633	1313	160	873	1037	917	84	58	109	476	589	27	88	1249	1097	1477	170	222	196	312	266	433
B4U62_13610	6	21	22	9	8	9	9	23	26	35	19	4	7	28	18	1	1	3	0	2	0	1	3	5	9	0	3	0	6	2	5
B4U62_13615	25518	37994	34518	31520	35179	34586	26288	29953	24778	40748	39068	25638	24990	26617	35916	3300	3340	7858	19518	21328	1554	21547	29718	22241	35606	17538	15999	14521	22894	14766	22552
B4U62_13620	31540	53144	50367	45887	52174	52344	41348	38991	32719	49377	57270	33683	35585	36864	48526	5077	6204	11708	26687	35283	2296	26335	9911	7710	11562	16974	17029	16607	32776	20910	34613
B4U62_13625	8393	13223	12215	11299	12604	12957	10252	9839	7809	12086	11736	8918	7113	8048	10587	318	271	1335	4013	8546	784	7309	1023	911	1293	3255	5048	4296	8847	5341	8164
B4U62_13630	4429	4261	3525	3728	3369	2930	2304	2335	1867	2798	2094	4557	1406	1657	2270	149	138	264	905	898	64	3759	653	578	777	3033	3158	2913	4232	2631	4146
B4U62_13635	3365	2868	2459	2530	2129	1780	1525	1352	1095	1709	1272	3558	751	1010	1298	116	133	183	582	533	26	2879	323	276	422	1896	1919	1878	3421	2012	3051
B4U62_13640	8047	5512	4750	4468	3677	3128	2552	2759	2280	3654	2522	7382	1862	2348	3206	348	415	687	1617	1395	99	6096	3579	2741	4496	4851	4304	3901	4568	2637	4146
B4U62_13645	3386	2192	1811	1733	1341	1083	971	1187	960	1484	931	3008	683	832	1230	96	138	220	525	522	29	2723	1194	895	1569	1391	1352	1137	1788	1084	1718
B4U62_13650	4924	9667	8941	8394	14175	11789	9751	9987	8918	12129	10111	5589	9650	9028	11080	912	783	1980	5504	4407	326	4409	1010	859	1136	1793	2353	2056	7913	4065	7018
B4U62_13655	1395	2246	2046	1994	2792	2368	2046	2104	2007	2996	2025	1723	1729	1552	2357	85	97	275	1104	805	62	1273	332	329	354	543	657	546	3951	1827	2542
B4U62_13660	5663	10926	11085	9579	14109	11074	10151	9215	7684	11022	11028	6102	8557	8660	11558	1397	1293	1720	5337	4839	251	4990	1999	1847	2328	3076	2904	2948	5344	3583	5746
B4U62_13665	2153	5196	5049	4873	6110	4596	4525	2964	3025	3921	3955	2439	3396	3589	3687	547	678	657	2033	1946	160	2062	841	773	984	1548	1699	1886	3166	2186	3228
B4U62_13670	651	679	599	527	558	492	450	476	503	572	396	633	293	295	822	47	63	167	363	371	43	610	95	78	110	409	378	381	578	395	569
B4U62_13675	1218	1140	1044	1031	1036	879	797	787	705	975	848	1124	477	542	1270	72	83	313	558	515	50	1013	616	487	766	787	790	740	1020	624	959
B4U62_13680	8031	7425	6546	6443	7332	6398	5259	5404	4509	7066	5643	7665	3913	4592	8914	740	757	2109	4019	4474	452	6908	3440	2653	4344	4232	4850	4408	7045	4536	6848
B4U62_13685	17111	20153	19846	20070	21138	20061	16255	14739	12951	19404	19284	19428	11245	13622	20903	1196	1261	4921	8256	11386	899	14753	2130	1808	2298	6366	8795	9089	20439	12522	16980
B4U62_13690	79	1035	1094	1013	2121	2404	1650	2345	1947	3166	2053	65	1555	1568	2363	106	104	155	290	350	54	53	102	105	231	60	55	62	120	66	93
B4U62_13695	16	286	295	277	504	626	376	481	398	662	429	13	331	347	401	19	20	3	40	51	4	9	9	7	16	7	8	10	26	19	20
B4U62_13700	1629	8399	6870	7092	6457	5495	4296	6333	4662	7928	11064	1668	8468	8744	3715	405	428	561	1786	1504	132	1419	12325	11239	11328	2573	2310	2429	3558	2408	3239
B4U62_13705	3529	17460	13454	13540	11192	9145	7984	14521	10131	17031	19823	3470	14458	14513	6957	876	1117	1220	3620	3038	159	2979	22514	22158	23876	4466	3671	4100	7008	4821	6890
B4U62_13710	4232	20276	15792	16057	15119	13644	10665	18898	13387	21811	27724	4189	19411	18851	9104	1566	2161	1712	5163	4120	212	3592	55527	51883	60880	5566	5108	4855	9215	6344	9649
B4U62_13715	139960	90939	75650	84515	72334	62029	47471	46419	38595	60147	35154	181066	22832	26740	27268	616	568	4109	16227	18842	1859	128792	26075	23216	31081	48890	63688	58707	125845	74276	106778
B4U62_13720	69079	49224	44294	43437	33082	27766	24012	22921	17604	28618	16477	86880	6814	9180	11111	134	106	1015	5299	6392	303	61821	11275	9977	14410	21715	31862	24903	68611	39161	54474
B4U62_13725	192	371	401	352	627	682	543	539	402	684	512	199	329	360	608	99	76	47	89	95	6	165	110	72	195	100	106	117	136	91	176
B4U62_13730	9689	5218	4006	4273	3444	3038	2555	3501	2774	4393	3114	9876	1771	2398	3515	188	241	391	1143	981	50	8690	1552	1223	1796	3146	3451	3134	5047	3328	5155
B4U62_13735	3388	1870	1504	1679	1114	925	833	1172	801	1457	1092	3711	679	923	1120	90	97	137	426	344	19	3023	182	166	234	1161	1355	1251	1937	1218	1935
B4U62_13740	3531	1818	1575	1579	965	832	717	1111	766	1352	798	3926	643	874	919	59	70	94	359	366	32	2834	226	212	355	1426	1716	1541	2048	1325	1862
B4U62_13745	2753	1557	1418	1255	716	677	543	923	720	1106	774	3098	464	708	683	64	82	92	343	345	17	1826	361	300	441	1246	1323	1104	1388	794	1302
B4U62_13750	28653	18614	16128	15633	13794	12255	10470	13270	10497	15866	12497	30483	7922	9986	12077	799	862	1880	5099	4600	256	21515	12921	11051	12929	28278	22405	22871	21233	13295	18858
B4U62_13755	8290	4590	4282	4014	3899	3401	2769	3691	2732	4476	3585	8598	2178	2812	3598	187	204	448	1377	1306	70	6190	2088	1668	2182	6867	5944	5566	5974	3792	5112
B4U62_13760	7176	8915	7035	7371	8450	8080	6237	7978	5980	9536	8469	7952	5569	6310	9717	534	556	2497	5486	6359	466	6025	8310	6568	9647	20155	15382	15403	8520	6174	8015
B4U62_13765	1314	1342	1206	1145	1547	1560	1206	1628	1335	2061	1630	1311	1237	1252	1764	107	93	201	400	399	23	1104	745	562	853	729	802	616	864	561	904
B4U62_13770	14637	11226	9502	9831	7431	6547	5532	7551	5677	9642	7071	16143	3830	4535	8537	760	939	1300	3815	3450	217	13352	4267	3297	5201	5428	5590	5448	10549	6869	10831
B4U62_13775	15	230	238	244	503	536	367	566	498	740	489	26	401	424	495	26	25	22	41	46	8	17	21	21	44	11	8	10	23	18	27
B4U62_13780	29	799	838	802	1847	2018	1331	2026	1757	2625	1834	25	1743	1724	1866	186	167	106	208	193	15	21	67	51	142	29	27	18	50	21	40
B4U62_13785	24	403	432	326	566	765	469	941	772	1118	733	36	988	927	468	61	59	60	112	119	8	13	39	59	167	21	22	24	38	24	59
B4U62_13790	187110	83630	63451	92970	52170	42260	34264	19478	17189	25278	21492	221797	9644	11554	10352	333	256	2565	10574	9709	717	188227	38394	27334	37258	41517	55739	57714	198158	117845	107457
B4U62_13795	1870	2218	2154	1965	2271	2114	1668	2451	2003	3188	1872	2102	2088	2048	2403	247	193	292	710	609	69	1615	1807	1417	2235	759	1044	894	1888	1290	1889
B4U62_13800	1664	7756	10857	10419	7504	6825	5892	8503	7162	10638	5248	1685	7582	8508	4075	667	817	1491	3270	2643	218	1318	1347	1045	1308	1145	1844	2048	4432	3935	4045
B4U62_13805	905	1523	1458	1358	1549	1463	1008	1735	1322	2192	1597	1065	1202	1344	2193	432	452	559	1351	1027	62	779	455	397	673	589	648	679	1242	848	1261
B4U62_13810	442	537	527	477	363	370	331	371	319	480	443	504	267	300	377	68	52	55	208	212	11	310	144	89	175	176	234	229	386	272	357
B4U62_13815	6	23	20	10	19	19	13	47	38	47	29	9	18	17	26	21	12	14	39	27	0	6	23	27	85	7	7	7	8	6	8
B4U62_13820	78	6438	6440	6340	15191	16815	12671	13653	13561	20249	11372	65	7781	7759	14181	675	512	286	978	964	38	67	111	163	236	52	59	40	136	73	131
B4U62_13825	6317	3712	3052	3175	2774	2442	1896	2981	2167	3918	2282	6839	1707	1965	3333	319	440	553	1235	1256	75	5560	1709	1345	2148	2016	2280	1987	3763	2532	4031
B4U62_13830	2409	1310	1201	1127	937	811	647	1034	777	1218	777	2423	549	731	1150	102	86	192	475	431	51	2139	795	613	896	816	898	740	1476	987	1493
B4U62_13835	2605	1589	1194	1267	1092	948	801	1126	899	1444	920	2601	593	818	1283	57	90	187	509	548	36	2344	962	801	1242	971	1004	865	1619	1090	1786
B4U62_13840	2327	1386	1255	1238	1059	929	701	1056	791	1329	913	2325	630	805	1066	77	61	198	537	455	37	2158	1051	799	1212	941	1032	788	1555	1073	1465
B4U62_13845	1042	645	597	548	483	401	335	419	329	537	389	975	252	355	454	29	17	48	111	182	15	970	483	324	480	421	399	404	610	480	671
B4U62_13850	3740	2435	2125	1930	1679	1434	1142	1502	1248	1933	1360	3677	1004	1229	1577	99	119	281	742	761	54	3231	2195	1636	2450	1543	1504	1336	2099	1373	2115
B4U62_13855	4432	2706	2282	2173	1941	1587	1372	1740	1449	2256	1728	4449	1247	1427	2022	91	91	254	890	769	42	3955	563	470	748	1563	1704	1469	2346	1511	2359
B4U62_13860	2089	1157	987	1058	792	723	627	807	638	933	725	2214	483	592	738	42	46	83	346	356	22	1893	124	94	148	607	744	641	1134	782	1182
B4U62_13865	2627	2279	2080	2181	2152	1722	1576	1391	1102	1661	2190	2853	1140	1196	1606	54	48	326	1226	1301	96	2490	109	122	143	540	1510	1123	3233	1965	2628
B4U62_13870	1804	1974	1791	1879	2714	2218	1799	1720	1529	2253	2757	2166	1916	2026	2537	785	850	1216	2510	2231	116	1815	274	254	435	1132	1198	1085	1916	1225	1725
B4U62_13875	52	2599	3161	3645	3036	3654	2253	5520	4832	7071	4743	53	6525	4605	2974	1258	1497	1441	1743	2602	141	49	298	234	503	54	54	46	68	44	57
B4U62_13880	354	383	326	332	538	595	473	370	338	502	373	367	366	380	819	140	150	416	510	836	52	332	81	76	105	101	117	108	239	125	177
B4U62_13885	83	329	356	332	501	571	444	525	525	780	529	102	522	535	652	115	111	150	264	316	16	90	101	99	193	50	41	63	109	60	108
