B1	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B2	B20	B21	B22	B23	B24	B25	B26	B27	B28	B3	B32	B33	B34	B4	B5	B6	B7	B8	B9
B4U62_00295	9388	8334	7067	7217	6874	6787	5513	6328	5596	8600	7347	11120	5440	5684	6193	551	576	621	1534	1653	100	8457	2583	2215	3518	3569	4323	3692	7407	4636	7767
B4U62_00300	6300	7229	6901	6406	8085	7798	6393	6931	5460	8533	8181	7292	6050	6263	6428	710	530	540	1473	1507	95	5415	1877	1503	2349	2932	2932	3133	5604	3608	5634
B4U62_00305	61803	139077	122694	126032	88218	63003	51153	35543	24762	35242	90783	73002	34784	44076	13496	1900	2329	4833	15489	19530	822	48871	45972	35550	56742	55304	85556	77214	127952	70839	136048
B4U62_00310	13111	8918	8782	7956	8370	6528	5601	5631	4328	6421	9002	13671	5269	6325	4522	286	280	612	2184	1942	106	11598	1310	1161	1866	5183	5277	5035	7126	4809	7361
B4U62_00315	8189	6014	5582	5292	5527	4034	3746	3556	2739	4247	5128	7963	3353	3896	2840	233	279	443	1237	1271	77	7153	889	831	1085	3061	3188	2966	4539	3081	4754
B4U62_00320	13223	69208	62700	48485	124027	115942	92966	79314	73184	95788	72602	11355	69230	82005	100111	18608	25687	77077	92238	167973	9629	8979	192773	187114	203453	66256	39057	46280	16208	12838	13995
B4U62_00325	2675	6130	6063	4947	14493	12429	10447	9491	7237	9280	7150	2788	9443	10374	5489	464	477	1479	2838	5542	342	2146	2593	2529	2613	1852	1744	1818	2025	1479	2219
B4U62_00330	1024	2940	2818	2701	6457	6617	5200	4421	3713	4878	3207	1051	3397	3945	2622	138	104	346	724	1596	137	880	504	610	533	618	690	628	709	507	751
B4U62_00335	10317	11518	11289	9605	16187	19090	15893	12961	10844	14991	10622	10084	9136	10707	13465	1828	2251	2889	5858	7910	537	8299	7111	6262	8239	8686	7107	7058	5905	4130	6516
B4U62_00340	2292	4264	3830	3853	7058	8857	6135	8382	7286	10966	5472	2503	4992	5252	5486	193	233	449	1091	1416	108	1870	455	469	650	1319	1237	1131	1180	819	1444
B4U62_00345	996	762	676	499	383	531	375	455	408	689	335	932	274	347	669	79	82	110	189	233	23	711	54	45	117	270	353	283	360	251	423
B4U62_00350	3553	1873	1775	1469	1130	1140	936	985	805	1460	986	3703	515	841	1362	110	114	223	525	543	50	2991	403	300	469	1575	1722	1475	2003	1382	2218
B4U62_00355	817	463	374	343	309	350	242	254	216	360	246	930	141	213	348	10	12	66	96	121	13	654	171	132	225	621	531	533	461	372	473
B4U62_00360	892	1164	1158	983	1423	1647	1234	1630	1303	2142	1218	970	707	863	1878	76	54	56	183	255	11	723	168	144	283	752	670	588	477	366	607
B4U62_00365	1649	2112	1841	1685	2925	2912	2349	2413	2148	3198	2013	1753	1546	1744	3865	315	271	920	1139	2357	221	1377	268	195	313	831	987	745	922	634	1058
B4U62_00370	6760	7590	7219	6640	7438	7277	5585	5036	4340	6007	7393	7964	5024	5516	4994	409	226	626	2018	3510	535	5678	2306	1854	2136	3537	3866	4043	5530	3394	4903
B4U62_00375	43152	27212	23676	26737	13039	13122	10498	9935	8841	12295	10223	55077	5681	6285	7266	236	150	1196	4227	5645	389	38385	16907	13743	20415	15178	32878	32703	52193	29621	49862
B4U62_00380	39	38	37	27	17	17	16	23	14	26	19	42	16	10	41	4	5	8	17	17	2	38	1	1	1	20	35	104	42	23	30
B4U62_00385	68	33	36	33	9	13	13	27	25	29	28	81	11	15	32	2	3	3	17	5	0	72	2	2	5	55	49	115	69	62	75
B4U62_00390	1164	4513	5011	4664	12408	9615	7715	7155	5853	8120	20755	1397	12265	11226	13293	865	957	770	1480	2018	147	1073	4692	2843	6357	629	822	723	953	625	1032
B4U62_00395	722	3280	2997	3028	6817	5578	4497	4290	3498	4724	9482	901	6203	5635	5419	348	415	554	946	1415	104	648	1873	1409	2716	334	431	383	778	477	826
B4U62_00400	243	1217	1378	1111	2364	2235	1788	1637	1645	2140	2567	262	1875	1760	2937	207	160	669	925	1748	93	206	395	324	707	88	123	133	233	143	194
B4U62_00405	13334	22638	19842	20043	19483	22147	16956	16740	15097	22784	16676	13643	12916	14013	21485	1328	1288	4230	7888	11205	717	11177	2075	1778	2654	7998	8562	8662	15016	10146	13959
B4U62_00410	6410	7749	7269	6070	5014	6071	4606	6254	4956	8521	5620	6276	3767	4338	8293	558	515	1562	3056	3705	214	5161	389	342	491	3274	3455	2949	5220	3606	5642
B4U62_00415	74768	79438	68934	67349	52005	52644	41637	51897	44443	76272	47284	77062	28945	34453	73200	5242	6576	13684	33740	32511	2449	61072	29606	24033	38134	38328	38829	38903	63861	41667	67816
B4U62_00420	2002	1477	1495	1336	997	1131	874	924	950	1457	952	2028	707	860	1391	57	51	178	480	540	66	1759	154	149	273	755	865	847	1420	899	1339
B4U62_00425	3044	2504	2325	2162	1643	1575	1329	1538	1279	2117	1477	3303	951	1078	2022	154	143	257	682	712	55	2641	989	790	1160	1170	1153	1127	1996	1317	2057
B4U62_00430	1839	1594	1534	1423	1471	1336	1177	1064	914	1434	981	1656	688	827	1355	53	40	101	305	391	41	1571	107	98	188	480	654	554	1121	728	1148
B4U62_00435	45384	25342	20737	19998	35538	35650	29197	15482	13268	21550	24918	49496	17539	15910	51790	2892	3604	11137	29276	27773	1930	40932	2226	1863	2889	35331	32016	34040	47475	31659	58258
B4U62_00440	1680	2220	2264	1956	2302	1855	1694	1251	1016	1504	1853	1725	1447	1617	1755	106	98	320	923	1068	130	1489	257	235	376	2035	2052	1935	2749	1852	2798
B4U62_00445	905	1146	1209	867	823	701	649	737	504	938	778	913	546	677	841	156	190	248	546	582	36	749	309	266	478	2338	1718	1576	944	657	1040
B4U62_00450	1235	1117	1100	993	926	738	620	661	532	837	639	1241	524	585	968	82	79	233	529	500	49	1007	248	205	264	1400	1193	1117	1044	799	1169
B4U62_00455	1736	1730	1779	1599	1476	1144	1005	1182	897	1422	1098	1742	869	940	1653	149	196	327	760	608	74	1423	615	478	718	1656	1485	1333	1657	1103	1585
B4U62_00460	547	542	578	553	465	332	318	347	258	418	268	466	188	256	513	23	21	79	165	160	7	392	172	150	217	539	473	491	520	346	517
B4U62_00465	798	828	784	736	683	514	504	516	446	601	460	799	344	451	803	35	35	110	311	310	28	602	449	388	554	721	721	681	709	477	628
B4U62_00470	281	229	168	197	191	108	129	136	104	155	126	319	74	115	200	6	6	20	42	63	4	292	70	65	70	162	146	155	218	181	216
B4U62_00475	7336	6529	6180	5730	5358	4727	3955	4602	3689	5907	5132	7998	3543	3794	6188	376	344	660	2106	1873	148	6509	10052	8132	13067	4203	3796	3791	5621	3691	5733
B4U62_00480	13174	10310	9263	9020	9978	8685	7147	8291	6948	10960	8066	13257	5689	6386	10152	652	835	1091	2971	2707	216	11646	18500	14047	22680	5507	5573	5134	8564	5660	8662
B4U62_00485	438	428	4967	302	6933	387	352	182	155	598	1026	439	7487	4646	1239	56680	42416	5309	3810	2366	15047	266	4723	3056	2741	602	825	808	392	772	885
B4U62_00490	97	42	125	53	167	77	67	10	12	25	308	126	1734	1299	41	13487	7275	195	571	323	8531	107	230	785	329	122	64	58	50	42	76
B4U62_00495	1	0	1	0	1	1	1	0	0	0	0	0	0	1	0	7	6	0	0	0	2	0	1	0	1	0	0	1	0	0	1
B4U62_00500	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0
B4U62_00505	528	573	773	823	283	169	207	124	109	130	151	663	92	100	117	16	17	26	126	134	4	529	5	6	7	206	639	761	840	598	731
B4U62_00510	23	18	18	23	3	5	3	4	3	5	8	30	4	9	9	1	4	5	15	9	0	25	1	1	0	6	19	44	31	25	34
B4U62_00515	88	38	52	43	13	8	9	14	6	10	3	123	0	3	7	5	4	4	4	11	0	119	1	1	1	50	83	107	85	86	86
B4U62_00520	462	180	342	303	109	104	74	65	83	107	67	628	42	53	45	33	41	24	66	52	2	568	3	3	5	251	465	774	484	295	317
B4U62_00525	146	53	107	102	25	11	12	17	15	26	14	124	10	12	16	8	19	12	22	18	2	181	2	0	1	184	195	539	159	112	115
B4U62_00530	54	18	20	20	14	6	9	7	6	9	5	49	2	8	1	0	0	1	11	2	0	64	0	0	1	8	39	46	32	28	30
B4U62_00535	29	12	15	10	4	4	7	2	7	3	1	50	1	2	4	1	0	2	7	7	0	42	0	0	0	6	26	18	25	10	18
B4U62_00540	557	234	186	267	103	62	51	68	64	102	33	652	42	58	48	10	3	19	67	58	4	614	0	1	2	230	399	460	341	191	363
B4U62_00545	420	444	4162	290	6340	297	360	165	161	603	941	449	6642	3742	1180	49198	37990	6492	4730	2826	14158	270	4431	2777	2614	705	810	801	361	748	986
B4U62_00550	166	142	359	61	3614	158	176	75	72	269	648	262	3502	2876	560	18185	15631	3520	2518	1680	11287	150	1550	1482	991	556	600	269	105	259	337
B4U62_00555	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
B4U62_00560	917	5356	5701	4003	7747	6729	6003	5796	5608	6436	4015	928	4480	5300	7047	179	122	978	2459	8528	739	729	2252	2385	2581	1084	1564	1213	1864	1193	1774
B4U62_00565	710	3988	4557	3116	7782	6267	5551	5839	4990	6074	4225	617	6557	7750	9508	486	530	2718	5530	13781	1401	510	2890	2943	2727	1868	1662	1482	1107	809	1061
B4U62_00570	2141	9167	10239	7061	14489	13435	11470	12280	9986	13576	10005	1886	11785	13931	22251	2144	1979	8137	13273	26077	1180	1404	4859	4838	4714	4120	3406	3150	2836	1900	2785
B4U62_00575	10164	40449	41696	32863	44512	56725	45924	44090	38811	54560	44532	9006	44706	49951	102665	12853	13577	38766	56541	98084	5299	6942	120810	93158	141571	52729	36899	36496	13544	9516	12144
B4U62_00580	2728	6562	6952	5570	6061	9333	7112	9300	7839	10618	9738	2421	9407	10915	16660	3588	4059	9651	16519	23671	1035	1883	11445	8548	13379	5333	4565	4075	2499	1719	2430
B4U62_00585	1389	3277	3824	2600	2464	4340	3237	3982	3518	4700	3630	1186	3390	4140	6144	639	606	2340	4709	7634	580	983	2511	2146	2796	2074	2051	1684	1455	1020	1360
B4U62_00590	2252	5746	6742	4567	6254	6490	5258	5182	4652	6342	4694	2073	3582	4363	6595	1281	1307	3334	4830	7451	524	1517	3164	2635	4044	3915	3239	3257	2708	1763	2296
B4U62_00595	1509	3411	3744	2718	3040	3390	2750	2730	2511	3409	2614	1623	1789	2124	3746	667	801	1991	2705	3594	193	1159	1761	1675	1930	3184	2300	2100	1671	1205	1428
B4U62_00600	336	314	429	237	221	227	191	307	209	292	166	313	134	179	247	77	64	76	152	208	2	204	35	27	59	135	172	169	224	112	232
B4U62_00605	21625	17184	14828	15085	17651	17732	12880	16395	13496	21490	14671	23621	11019	11048	13050	890	1020	1859	4475	4887	315	18269	7102	5178	8589	10608	11034	9576	13810	9068	14481
B4U62_00610	1209	1334	1129	1354	1662	1774	1298	1781	1677	2417	1281	1338	1058	1011	1457	282	432	189	408	350	30	1089	796	559	782	854	810	914	837	663	1026
B4U62_00615	673	906	931	803	886	784	612	797	644	1089	771	585	732	684	820	74	60	76	255	242	14	574	198	167	402	543	510	433	544	389	583
B4U62_00620	2125	3066	2828	2603	2779	2586	2014	2514	2245	3367	2226	2055	2649	2369	3073	241	224	365	757	838	72	1780	1605	1153	1802	2533	2261	1863	1790	1250	1766
B4U62_00625	423	496	502	426	404	319	281	336	255	360	283	357	229	297	421	18	29	67	176	158	15	322	257	189	277	597	464	372	352	259	329
