locus_tag	LB24H	X6H	X12H	X1D	X2D	X3D	X5D	X7D	X14D	X1M	X2M
B4U62_00130	2.9707087259481015e-05	9.64439818093079e-05	5.5211200556024584e-05	6.101855212985255e-05	6.122720262845746e-05	6.683933768745129e-05	7.096681862198714e-05	6.0053582650429676e-05	6.525191323464058e-05	3.329921733958015e-05	7.704432715606186e-06
B4U62_00135	6.557842115675139e-05	0.0001575873318497054	0.00010918195338713828	0.00013505497299801588	0.00013349212823061672	0.00010734749197792067	9.558102202074228e-05	7.176647708393685e-05	1.1051675394695876e-05	2.9637405158920137e-05	5.6403167855683915e-06
B4U62_00140	2.8950317777592288e-05	7.781436375890261e-05	4.136464732107706e-05	3.8264982475332363e-05	5.116383417407176e-05	6.288488421143679e-05	6.907799277348513e-05	5.177004282265859e-05	3.948613671170233e-05	2.086841030380731e-05	7.142511708357957e-06
B4U62_00145	3.750651089982278e-05	9.542726116564371e-05	4.3927185906436975e-05	5.205332539910029e-05	6.342459895865518e-05	8.48410559610291e-05	9.729481775494775e-05	5.52385939013493e-05	2.1219216757816097e-05	2.0894930701703426e-05	9.74646740546218e-06
B4U62_00150	6.9070894739387e-06	2.3110472911526143e-05	1.0552006969012908e-05	1.38891960677186e-05	6.46697064831927e-05	0.00010397457902110288	7.693365200849247e-05	6.860132693030038e-05	1.750387184126742e-05	1.2228913649037176e-05	2.7688827856426613e-06
B4U62_00180	2.4800840331841455e-05	3.797352002497638e-05	8.610615591995389e-06	1.762426026121145e-05	8.325336389567052e-05	0.00014401438352722163	0.00012627080081563415	9.265057076932897e-05	3.0604639554542582e-06	1.0188349359671219e-05	1.1870697481011623e-05
B4U62_00185	0.00020369169629130357	7.721109025477111e-05	6.307949190515648e-05	9.779315144940513e-05	0.00011484318375470547	0.00011980554716921176	9.025308582481677e-05	0.00010685356443586253	3.1537707833644325e-05	4.172667471491353e-05	2.8130048202756643e-05
B4U62_00190	0.00020527204575206825	6.560161211652904e-05	6.397931565718258e-05	5.866270074015317e-05	8.695033060029208e-05	9.232990694210035e-05	8.029454763568421e-05	9.465256859223311e-05	2.158931937568499e-05	4.135451882640021e-05	2.056748074365402e-05
B4U62_00195	0.00014431797120272076	9.474196616486577e-05	5.578689022448773e-05	7.677118142577414e-05	7.544318916654993e-05	6.935241324172668e-05	6.3898202142016e-05	6.610971589093922e-05	5.595722942493363e-05	4.466344027984571e-05	1.8489919973979736e-05
B4U62_00200	6.88847891278482e-05	5.137326481632421e-05	3.1312337136182016e-05	3.2725385860773925e-05	5.5502201075212936e-05	6.165938017806634e-05	6.861710755908453e-05	6.529331682559247e-05	6.724399676772698e-05	8.997018015824678e-05	5.548165131043613e-05
B4U62_00205	6.262162535949803e-05	0.00014469943696857992	0.00010800629598967752	8.972287861321039e-05	0.00014905866792937347	0.00014522885889069867	0.0001561847231968419	0.00014673229366892433	0.00011122004238116688	0.00013458076251709645	8.934261788340327e-05
B4U62_00210	0.0001259264292943467	8.617306747572264e-05	9.005960522949135e-05	5.793636439820378e-05	9.49324027530029e-05	9.275469895006455e-05	8.966566292209008e-05	9.102323559445643e-05	2.8418593872075127e-05	7.208083900719795e-05	4.8898093275703105e-05
B4U62_00215	5.809787533352808e-05	0.00012729356266656243	9.885003054020061e-05	9.31587416758573e-05	0.00011224899696241554	0.00010711962005217143	9.852933663318512e-05	0.00010284488358815356	9.614957593385415e-05	0.00011559981620371901	4.836315265589188e-05
B4U62_00220	0.00012061694362721983	0.0001856155908565502	0.00011591911144122021	0.00011712745141550302	0.00012759954278539882	0.00011500347689133886	0.00011413928606669603	0.00011824486655207146	0.00012541249034850557	0.00011575011893767168	3.192909762960885e-05
B4U62_00225	0.0001467956883427239	0.0001794500203516743	0.00012306866792274383	0.0001243352945795339	0.00011100991381732938	9.124858719430352e-05	9.011607923927653e-05	8.070870714890862e-05	4.0614907075507345e-05	6.704475796019014e-05	1.7936207378107456e-05
B4U62_00230	1.7542560584579254e-05	3.0509324952234495e-05	1.3694761143610662e-05	1.5939706080179023e-05	1.7144505697852307e-05	1.3565650390365191e-05	1.7829828417011047e-05	1.6900478422798673e-05	1.0828859358512512e-05	9.801962189410345e-06	3.2750226496848688e-06
B4U62_00235	5.016794451568648e-06	1.3725475579121114e-05	5.265416692110606e-06	5.889233446440017e-06	6.520862070388594e-06	4.901658725280562e-06	6.260035464164915e-06	5.350095601372416e-06	2.9839523565678895e-06	2.345442925507648e-06	8.122056171218486e-07
B4U62_00240	3.094219883585733e-05	4.192397250054199e-05	2.4051215286049774e-05	2.440576791513244e-05	2.9266930795492457e-05	2.0942493352860948e-05	2.4787525700396848e-05	2.3841403008271148e-05	1.4597264087874764e-05	1.4740048128771479e-05	4.712455799000488e-06
B4U62_00245	0.00033880156122334136	0.0030971687615612403	0.0013011350313368278	0.001588537760584726	0.0010101268463568874	0.0006505164086088877	0.0005889510141092147	0.0002606620096764494	9.638883900940953e-05	0.00038161451601801175	0.00015071856812570432
B4U62_00250	9.362707153169211e-05	0.00018545478550231615	0.00012732769186722177	0.00010704780124693964	0.00010361130575548729	0.00010380705821709461	8.980026527482125e-05	7.869911208496552e-05	2.2435732004269836e-05	2.8334520615861528e-05	4.763311138007837e-06
B4U62_00255	3.179513469796786e-05	3.375369229787944e-05	3.0450633737710098e-05	2.8889434540419514e-05	2.6058540179763675e-05	2.0303837069036226e-05	1.94646131391873e-05	1.5529318333957122e-05	1.5750047848646025e-05	8.965436862966383e-06	1.269071276752892e-06
B4U62_00260	8.340608780758453e-05	0.0005994263470464173	0.00024261365569787282	0.0003028974917955406	0.0005058569481930162	0.0008876378319353641	0.0008341020429240223	0.0006242091402373985	0.0001744045212971187	0.00015683593897150133	3.152396230838224e-05
B4U62_00265	1.1632500066779828e-05	7.842076590183921e-05	3.310835522129446e-05	4.209850931705678e-05	3.871023661366438e-05	4.631453181403052e-05	6.253526217544434e-05	4.792473390933542e-05	3.085013131567508e-05	2.1248429145838373e-05	4.7776801007167544e-06
B4U62_00270	7.414026178762869e-05	0.0001070723818818346	3.8467275857369157e-05	5.149397158309911e-05	5.195538064294702e-05	6.103063891292321e-05	8.118817325538108e-05	5.970042379306931e-05	4.7865447357914896e-05	3.52076578161513e-05	5.95987056932414e-06
B4U62_00275	9.263115959670403e-06	4.891179614222069e-06	2.7975758249531976e-06	3.4978502828492677e-06	0.00020338014406227404	0.000393298098041108	0.0008384117838712707	0.0006148202205753733	0.0002478081853965316	4.011406048342276e-05	5.721723419586899e-06
B4U62_00280	0.0015222530259803267	0.0027652995327938396	0.008596095862725157	0.008734793251504861	0.0070147694318627215	0.002611514760206426	0.0035999807638715364	0.0018186856076106547	0.0006573841398569114	0.0019454965388862606	0.0003136794107505068
